key,ar,en,es,ja
faq.questionsSection.questionsByTopic.Privacy.0.answer.0.content.1.type,,link,,
faq.questionsSection.questionsByTopic.Privacy.0.answer.0.content.1.text,,https://aws.amazon.com/en/privacy,,
faq.questionsSection.questionsByTopic.Privacy.0.answer.0.content.1.href,,https://aws.amazon.com/en/privacy,,
faq.questionsSection.questionsByTopic.Privacy.0.answer.0.content.2.type,,text,,
faq.questionsSection.questionsByTopic.Privacy.0.answer.0.content.2.text,,". If you would like to learn more, please refer to the Virufy privacy policy.",,
faq.questionsSection.questionsByTopic.Privacy.1.question,,Is my privacy ever at risk of being exposed when I donate my cough to Virufy?,,
faq.questionsSection.questionsByTopic.Privacy.1.answer.0.type,,paragraph,,
faq.questionsSection.questionsByTopic.Privacy.1.answer.0.content.0.type,,text,,
faq.questionsSection.questionsByTopic.Privacy.1.answer.0.content.0.text,,Our strong legal and information security teams have developed a DPIA to address potential risks and threats for your privacy. We will only store your personal data in an anonymized form (where you cannot be identified in any way) and in a secure database with restricted access. If you would like to learn more please refer to the Virufy Privacy Policy.,,
faq.questionsSection.questionsByTopic.Privacy.2.question,,Does Virufy have a privacy policy and cookie policy?,,
faq.questionsSection.questionsByTopic.Privacy.2.answer.0.type,,paragraph,,
faq.questionsSection.questionsByTopic.Privacy.2.answer.0.content.0.type,,text,,
faq.questionsSection.questionsByTopic.Privacy.2.answer.0.content.0.text,,"Virufy takes the privacy and protection of your personal information seriously. Our legal team has prepared a detailed Privacy Policy and Cookie Policy to protect the personal information you share with us through use of our website, participation in our cough donation study, contacting us, and volunteer applications. Refer to the footer for a detailed Privacy Policy and Cookie Policy.",,
faq.questionsSection.questionsByTopic.Privacy.3.question,,Will my data be shared with third parties?,,
faq.questionsSection.questionsByTopic.Privacy.3.answer.0.type,,paragraph,,
faq.questionsSection.questionsByTopic.Privacy.3.answer.0.content.0.type,,text,,
faq.questionsSection.questionsByTopic.Privacy.3.answer.0.content.0.text,,"If you opt-in to share your contact information (e.g., email and phone number) with us, we will not distribute any of this personal identifiable information to any third party. However, we may share your anonymized information, such as your cough sounds, with third parties in order to accelerate global research efforts to stop the COVID-19 pandemic and other future spreads of disease. More details can be found in our Privacy Policy and the data collection study Consent Form.",,
faq.questionsSection.questionsByTopic.Other.0.question,,How can I support Virufy more?,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.type,,paragraph,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.0.type,,text,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.0.text,,"You can join our team today and look at the ",,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.1.type,,relative-link,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.1.text,,Job Listing,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.1.href,,/join-us,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.2.type,,text,,
faq.questionsSection.questionsByTopic.Other.0.answer.0.content.2.text,," page for more information. You can also support us at GoFundMe. You can also contact us for partnership.",,
faq.questionsSection.questionsByTopic.Other.1.question,,"How does distribution work, and how will Virufy become more widespread?",,
faq.questionsSection.questionsByTopic.Other.1.answer.0.type,,paragraph,,
faq.questionsSection.questionsByTopic.Other.1.answer.0.content.0.type,,text,,
faq.questionsSection.questionsByTopic.Other.1.answer.0.content.0.text,,The app will be offered for the benefit of people in low-income countries and will likely market itself and spread quickly.,,
faq.questionsSection.questionsByTopic.Other.2.question,,What if I have more questions?,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.type,,paragraph,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.0.type,,text,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.0.text,,"More details can be found in our full Privacy Policy, Cookie Policy, and consent form which is embedded in the data collection app. For questions related to the data collection study, please email us at ",,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.1.type,,link,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.1.text,,study@virufy.org,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.1.href,,mailto:study@virufy.org,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.2.type,,text,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.2.text,,". For data related queries, we can be contacted at ",,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.3.type,,link,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.3.text,,open-data@virufy.org,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.3.href,,mailto:open-data@virufy.org,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.4.type,,text,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.4.text,,". For all other inquiries, you may reach us at ",,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.5.type,,link,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.5.text,,info@virufy.org,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.5.href,,mailto:info@virufy.org,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.6.type,,text,,
faq.questionsSection.questionsByTopic.Other.2.answer.0.content.6.text,,.,,
footer.cookiePolicy.body.2.answer.5.content.2.type,,link,link,link
footer.cookiePolicy.body.2.answer.5.content.2.text,,opt-out of Google Analytics,excluirte de Google Analytics,Google Analytics
footer.cookiePolicy.body.2.answer.5.content.2.href,,https://tools.google.com/dlpage/gaoptout,https://tools.google.com/dlpage/gaoptout,https://tools.google.com/dlpage/gaoptout
footer.cookiePolicy.body.2.answer.5.content.3.type,,text,text,text
footer.cookiePolicy.body.2.answer.5.content.3.text,,.,.,。
footer.cookiePolicy.body.3.answer.1.type,,paragraph,paragraph,paragraph
footer.cookiePolicy.body.3.answer.1.content.0.type,,text,text,text
footer.cookiePolicy.body.3.answer.1.content.0.text,,"By using our Cookie Consent Banner, you can select the categories of cookies which you choose to accept or reject. The Cookie Consent Banner can be found in the notification banner and on our Website. You can change or revoke consent for your cookie policies directly from the website by clicking “Cookie settings” at the bottom of the page.","Al utilizar nuestro Banner de Consentimiento de Cookies, puedes seleccionar las categorías de cookies que deseas aceptar o rechazar. El Banner de Consentimiento de Cookies se encuentra en la notificación emergente y en nuestro Sitio web. Puedes cambiar o revocar tu consentimiento directamente desde el sitio web haciendo clic en ""Configuración de cookies"" al pie de la página.",当社のクッキー同意バナーを使用することで、受け入れるか拒否するかクッキーのカテゴリーを選択することができます。クッキー同意バナーは、通知バナーと当社のウェブサイトにあります。お客様は、ページ下部にある「クッキー設定」をクリックすることで、ウェブサイトから直接、クッキーポリシーの同意を変更または取り消すことができます。
footer.cookiePolicy.body.3.answer.2.type,,paragraph,paragraph,paragraph
footer.cookiePolicy.body.3.answer.2.content.0.type,,text,text,text
footer.cookiePolicy.body.3.answer.2.content.0.text,,"If you choose not to click on “Got it!”, or do not close the message, you may still use our Website. You may also refuse to accept cookies from this Website at any time by activating the setting on your browser which allows you to refuse cookies.","Si decides no hacer clic en ""¡Entendido!"" o no cierras el mensaje, aún puedes utilizar nuestro Sitio web. También puedes rechazar cookies de este Sitio web en cualquier momento activando la configuración en tu navegador que te permite rechazarlas.",お客様が「同意する」をクリックしない場合、またはメッセージを閉じない場合でも、引き続き当社のウェブサイトを使用することができます。また、お客様は、お使いのブラウザからクッキーを拒否する設定を有効にすることで、いつでも当社のウェブサイトからのクッキーの受け取りを拒否することができます。
footer.cookiePolicy.body.3.answer.3.type,,paragraph,paragraph,paragraph
footer.cookiePolicy.body.3.answer.3.content.0.type,,text,text,text
footer.cookiePolicy.body.3.answer.3.content.0.text,,Please follow the links below to helpful information for the most popular browsers:,Consulta los siguientes enlaces para obtener información útil sobre los navegadores más populares:,最も一般的なブラウザについては、以下のリンクから役立つ情報をご覧ください:
footer.cookiePolicy.body.3.answer.4.type,,paragraph,paragraph,paragraph
footer.cookiePolicy.body.3.answer.4.content.0.type,,link,link,link
footer.cookiePolicy.body.3.answer.4.content.0.text,,Apple Safari,Apple Safari,Apple Safari
footer.cookiePolicy.body.3.answer.4.content.0.href,,https://support.apple.com/en-us/105082,https://support.apple.com/en-us/105082,https://support.apple.com/en-us/105082
footer.cookiePolicy.body.3.answer.4.content.1.type,,text,text,text
footer.cookiePolicy.body.3.answer.4.content.1.text,,", ",", ",", "
footer.cookiePolicy.body.3.answer.4.content.2.type,,link,link,link
footer.cookiePolicy.body.3.answer.4.content.2.text,,Google Chrome,Google Chrome,Google Chrome
footer.cookiePolicy.body.3.answer.4.content.2.href,,https://support.google.com/chrome/answer/95647?co=GENIE.Platform%3DDesktop&hl,https://support.google.com/chrome/answer/95647?co=GENIE.Platform%3DDesktop&hl,https://support.google.com/chrome/answer/95647?co=GENIE.Platform%3DDesktop&hl
footer.cookiePolicy.body.3.answer.4.content.3.type,,text,text,text
footer.cookiePolicy.body.3.answer.4.content.3.text,,", ",", ",", "
footer.cookiePolicy.body.3.answer.4.content.4.type,,link,link,link
footer.cookiePolicy.body.3.answer.4.content.4.text,,Microsoft Edge,Microsoft Edge,Microsoft Edge
footer.cookiePolicy.body.3.answer.4.content.4.href,,https://support.microsoft.com/en-us/help/10607/microsoft-edge-view-delete-browser-history,https://support.microsoft.com/en-us/help/10607/microsoft-edge-view-delete-browser-history,https://support.microsoft.com/en-us/help/10607/microsoft-edge-view-delete-browser-history
footer.cookiePolicy.body.3.answer.4.content.5.type,,text,text,text
footer.cookiePolicy.body.3.answer.4.content.5.text,,", ",", ",", "
footer.cookiePolicy.body.3.answer.4.content.6.type,,link,link,link
footer.cookiePolicy.body.3.answer.4.content.6.text,,Microsoft Internet Explorer,Microsoft Internet Explorer,Microsoft Internet Explorer
footer.cookiePolicy.body.3.answer.4.content.6.href,,https://support.microsoft.com/en-gb/help/17442/windows-internet-explorer-delete-manage-cookies,https://support.microsoft.com/en-gb/help/17442/windows-internet-explorer-delete-manage-cookies,https://support.microsoft.com/en-gb/help/17442/windows-internet-explorer-delete-manage-cookies
footer.cookiePolicy.body.3.answer.4.content.7.type,,text,text,text
footer.cookiePolicy.body.3.answer.4.content.7.text,,", ",", ",", "
footer.cookiePolicy.body.3.answer.4.content.8.type,,link,link,link
footer.cookiePolicy.body.3.answer.4.content.8.text,,Mozilla Firefox,Mozilla Firefox,Mozilla Firefox
footer.cookiePolicy.body.3.answer.4.content.8.href,,https://support.mozilla.org/en-US/kb/enable-and-disable-cookies-website-preferences,https://support.mozilla.org/en-US/kb/enable-and-disable-cookies-website-preferences,https://support.mozilla.org/en-US/kb/enable-and-disable-cookies-website-preferences
footer.cookiePolicy.body.3.answer.4.content.9.type,,text,text,text
footer.cookiePolicy.body.3.answer.4.content.9.text,,", ",", ",", "
footer.cookiePolicy.body.3.answer.4.content.10.type,,link,link,link
footer.cookiePolicy.body.3.answer.4.content.10.text,,Opera,Opera,Opera
footer.cookiePolicy.body.3.answer.4.content.10.href,,https://blogs.opera.com/news/2015/08/how-to-manage-cookies-in-opera/,https://blogs.opera.com/news/2015/08/how-to-manage-cookies-in-opera/,https://blogs.opera.com/news/2015/08/how-to-manage-cookies-in-opera/
paper.meta,,"Get to read some of the most relevant papers about COVID-19 transmission, control, detection and the use of artificial intelligence for pre-screenings.",,
paper.title,,Papers on Covid-19 detection with AI | Virufy,,
paper.headers.header,,Paper,,
paper.papers.section2.date,,November 2020,,
paper.papers.section2.title,,Virufy: Global Applicability of Crowdsourced and Clinical Datasets for AI Detection of COVID-19 from Cough,,
paper.papers.section2.readMoreLink,,Read more...,,
paper.papers.section4.date,,September 2021,,
paper.papers.section4.title,,Challenges and Opportunities in the Deploying of COVID-19 Cough AI Systems,,
paper.papers.section4.readMoreLink,,Read more...,,
paper.papers.section5.date,,January 2022,,
paper.papers.section5.title,,Using Deep Learning with Large Aggregated Datasets for COVID-19 Classification from Cough,,
paper.papers.section5.readMoreLink,,Read more...,,
paper.papers.section6.date,,January 2022,,
paper.papers.section6.title,,Covid 19 Calculator -- Positive U.S. Socio-Economic Impact,,
paper.papers.section6.readMoreLink,,Read more...,,
paper.papers.section6.calculatorLink,,Calculator,,
paper.papers.section3.date,,February 2023,,
paper.papers.section3.title,,Complex Clipping for Improved Generalization in Machine Learning,,
paper.papers.section3.readMoreLink,,Read more...,,
paper.papers.section7.date,,October 2022,,
paper.papers.section7.title,,Hierarchical Multi-modal Transformer for Automatic Detection of COVID-19,,
paper.papers.section7.readMoreLink,,Read more...,,
teamLeads.cards.5.texts.2,,Clinical Statistics,,
teamLeads.cards.7.texts.1,,USA,,
teamLeads.cards.8.texts.1,,"LATAM, Peru",,
teamLeads.cards.9.texts.1,,"OYW Ambassador, Peru",,
teamLeads.cards.10.texts.1,,"OYW Ambassador, Argentina",,
teamLeads.cards.11.texts.1,,"OYW Ambassador, Bolivia",,
teamLeads.cards.12.texts.1,,"OYW Ambassador, Chile",,
teamLeads.cards.13.texts.1,,"OYW Ambassador, Colombia",,
teamLeads.cards.14.texts.1,,"Ambassador OYW, EE.UU11",,
teamLeads.cards.15.texts.1,,"OYW Ambassador, South Africa",,
teamLeads.cards.16.texts.1,,OYW Ambassador,,
teamLeads.cards.17.texts.1,,"OYW Ambassador, Ireland",,
teamLeads.cards.18.texts.1,,"OYW Ambassador, Japan",,
faq.questionsSection.questionsByTopic.Aplicación Virufy.0.question,,,¿Cuándo y cómo la aplicación dará resultados de predicción de infecciones de las vías respiratorias superiores?,
faq.questionsSection.questionsByTopic.Aplicación Virufy.0.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Aplicación Virufy.0.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Aplicación Virufy.0.answer.0.content.0.text,,,"Actualmente, nuestra aplicación solo se utiliza para la recopilación de datos. No podemos lanzar una aplicación de predicción de infecciones de las vías respiratorias superiores sin la aprobación de los departamentos de salud pública de cada país y estudios clínicos para validar la tecnología de IA en las condiciones locales. Este proceso puede tardar semanas o meses, dependiendo de la rapidez del socio gubernamental. Virufy agradece la colaboración de funcionarios de salud y hospitales para ofrecer la tecnología de forma gratuita a la población y optimizar el uso de las costosas pruebas PCR solo cuando sea necesario.",
faq.questionsSection.questionsByTopic.Aplicación Virufy.1.question,,,¿Está disponible tu aplicación para iOS o Android?,
faq.questionsSection.questionsByTopic.Aplicación Virufy.1.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Aplicación Virufy.1.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Aplicación Virufy.1.answer.0.content.0.text,,,"Nuestra aplicación está diseñada como una aplicación web, por lo que puede usarse desde el navegador web en cualquier dispositivo móvil. No requiere una descarga o instalación separada.",
faq.questionsSection.questionsByTopic.Aplicación Virufy.2.question,,,¿Estará la aplicación disponible de forma gratuita y en todo el mundo?,
faq.questionsSection.questionsByTopic.Aplicación Virufy.2.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Aplicación Virufy.2.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Aplicación Virufy.2.answer.0.content.0.text,,,"Como organización sin fines de lucro 501(c)(3), podríamos tener que cobrar una tarifa nominal para financiar nuestras operaciones en caso de no poder recaudar fondos suficientes. Sin embargo, nuestra intención es que la aplicación sea gratuita para beneficio de los países de bajos ingresos.",
faq.questionsSection.questionsByTopic.Aplicación Virufy.3.question,,,¿Planean extender esta aplicación en una startup con fines de lucro?,
faq.questionsSection.questionsByTopic.Aplicación Virufy.3.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Aplicación Virufy.3.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Aplicación Virufy.3.answer.0.content.0.text,,,Virufy es una organización sin fines de lucro. Es posible que nos asociemos con empresas si es necesario para acelerar el despliegue de la aplicación para el beneficio de la gente.,
faq.questionsSection.questionsByTopic.Acerca de Virufy.0.question,,,¿Cómo se creó la iniciativa?,
faq.questionsSection.questionsByTopic.Acerca de Virufy.0.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de Virufy.0.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de Virufy.0.answer.0.content.0.text,,,"Cuando la pandemia golpeó, el fundador de Virufy, Amil, sabía que los smartphones estaban presentes en todas partes y que el COVID afectaba la nariz, la garganta y los pulmones. Hipotetizó que los sonidos de la respiración y la tos podrían analizarse con aprendizaje automático para detectar patrones de COVID. Querido hacer un impacto positivo, orquestó un estudio clínico con 362 pacientes en un hospital universitario de renombre. El equipo original de Virufy, comenzando con estudiantes de AI graduados de Stanford, se expandió a voluntarios de universidades de todo el mundo. Como embajador de One Young World Japón, que ha viajado a más de 25 países, Amil entiende la perspectiva global y cómo una solución basada en smartphone puede ser utilizada por personas de todo el mundo.",
faq.questionsSection.questionsByTopic.Acerca de Virufy.1.question,,,¿En qué se diferencia Virufy de otras iniciativas que trabajan en proyectos similares?,
faq.questionsSection.questionsByTopic.Acerca de Virufy.1.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de Virufy.1.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de Virufy.1.answer.0.content.0.text,,,"Debido a que Virufy es una organización sin fines de lucro 501(c)(3), podemos reclutar profesionales altamente talentosos como voluntarios. Nuestro equipo es global, abarcando cinco continentes, y nuestra organización tiene empatía global incorporada. No nos preocupamos por generar ganancias, por lo que podemos trabajar en países en desarrollo. Nuestras densas redes de alumni universitarios y profesionales nos brindan acceso a contactos de alto nivel en cada país del mundo. El mentorazgo está integrado en nuestra organización, ya que decenas de jóvenes profesionales en nuestro equipo se benefician de los sabios consejos de expertos senior, lo que lleva a una actividad rápida y creativa enfocada en la dirección correcta.",
faq.questionsSection.questionsByTopic.Acerca de Virufy.2.question,,,¿En qué fase de la investigación se encuentran? ¿Hay una fecha límite para participar?,
faq.questionsSection.questionsByTopic.Acerca de Virufy.2.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de Virufy.2.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de Virufy.2.answer.0.content.0.text,,,"Hemos puesto un esfuerzo considerable para formar asociaciones, construir nuestra aplicación móvil, registrar nuestra entidad sin fines de lucro en California y construir nuestras políticas para cumplir con las leyes de privacidad de datos en docenas de países. Nuestra aplicación de recolección de datos está en la etapa de avances, ya que hemos abordado la mayoría de las preocupaciones sobre la privacidad de los datos en la atención médica y los aspectos técnicos para permitir el lanzamiento. Ya hemos implementado privacidad de datos, seguridad de la información y UI/UX para nuestra aplicación móvil de recolección de datos, junto con una infraestructura backend escalable en AWS. Ya hemos recolectado grandes volúmenes de datos, superando los 250,000 pacientes, y con la ayuda de IA estamos construyendo la solución. No hay fecha límite, y siempre damos la bienvenida a socios que puedan proporcionar financiamiento de subvenciones, servicios voluntarios y recolección de datos clínicos.",
faq.questionsSection.questionsByTopic.Acerca de Virufy.3.question,,,¿Qué tiene de especial Virufy en comparación con otras organizaciones?,
faq.questionsSection.questionsByTopic.Acerca de Virufy.3.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de Virufy.3.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de Virufy.3.answer.0.content.0.text,,,"Como una organización joven con un equipo diverso y global que incluye alumni de más de 25 universidades, estamos guiados por profesionales de alto nivel en la industria. Nuestro equipo multidisciplinario tiene experiencia en derecho, aprendizaje automático, medicina, seguridad de la información y desarrollo de aplicaciones móviles. Nuestra red de One Young World nos permite conectarnos con socios de confianza en cada país. Damos la bienvenida a todos, y ser una organización sin fines de lucro 501(c)(3) permite que los voluntarios se unan. Como una organización sin fines de lucro dirigida por voluntarios, somos independientes y tenemos menos burocracia.",
faq.questionsSection.questionsByTopic.Acerca de Virufy.4.question,,,¿Cuánta inversión se realizó para hacer posible la iniciativa Virufy?,
faq.questionsSection.questionsByTopic.Acerca de Virufy.4.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de Virufy.4.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de Virufy.4.answer.0.content.0.text,,,"Más de 1,000 voluntarios han invertido miles de horas para hacer posible el proyecto. Varias empresas nos han apoyado con software gratuito, incluyendo plataformas de correo electrónico, almacenamiento y mensajería, junto con computación en la nube. Algunos softwares como videoconferencias y herramientas de gestión de proyectos no han sido gratuitos, por lo que, lamentablemente, deben ser pagados con los limitados ahorros del fundador Amil. Creemos que si tenemos éxito, nuestros costos de computación en la nube aumentarán, pero podremos atraer financiamiento amplio de",
faq.questionsSection.questionsByTopic.Acerca de la IA.0.question,,,¿Por qué se distinguen las toses causadas por infecciones de las vías respiratorias superiores?,
faq.questionsSection.questionsByTopic.Acerca de la IA.0.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de la IA.0.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de la IA.0.answer.0.content.0.text,,,"Las infecciones de las vías respiratorias superiores dañan la garganta y los pulmones, creando diferencias detectables en los patrones de tos. Por consiguiente, los sonidos de la tos pueden analizarse para detectar infecciones de las vías respiratorias superiores. A nivel mundial, esta idea está siendo investigada activamente por varias instituciones prestigiosas, como Carnegie Mellon (CMU), MIT y Cambridge. Por ejemplo, una investigación realizada por la Universidad de Cambridge demostró que un clasificador binario simple de aprendizaje automático es capaz de clasificar a pacientes positivos de COVID-19 mediante sonidos de respiración y tos con alta precisión. De igual manera, investigadores de la CMU identificaron 18 características de voz que distinguen a pacientes positivos de COVID-19 y entrenaron un modelo académico para detectar la COVID-19 con alta precisión.",
faq.questionsSection.questionsByTopic.Acerca de la IA.1.question,,,"¿Cuál fue la principal dificultad al recopilar y procesar los datos? ¿Hubo alguna región donde la inteligencia artificial fuera menos precisa, por ejemplo?",
faq.questionsSection.questionsByTopic.Acerca de la IA.1.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de la IA.1.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de la IA.1.answer.0.content.0.text,,,"El proceso es lento y engorroso al recopilar datos de hospitales, ya que requiere formularios de estudios clínicos y aprobaciones del IRB. Con la supervisión de varios asesores médicos, incluidos de Harvard y Stanford, hemos inscrito a más de 250,000 pacientes en nuestros estudios clínicos en 5 países. Para recopilar directamente de los usuarios, dedicamos importantes esfuerzos con abogados expertos pro bono para garantizar el cumplimiento de las leyes de privacidad de datos, incluidas la LGPD, GDPR y CCPA. Como se describe en nuestro artículo de investigación, algunas de las dificultades que encontramos al procesar los datos incluyeron ruidos de fondo excesivos y grabaciones incorrectas de tos enviadas por los usuarios, lo que requirió que los desarrolladores de IA limpiaran manualmente las muestras de audio antes de entrenar los modelos de IA.",
faq.questionsSection.questionsByTopic.Acerca de la IA.2.question,,,¿Se pueden detectar casos asintomáticos?,
faq.questionsSection.questionsByTopic.Acerca de la IA.2.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de la IA.2.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de la IA.2.answer.0.content.0.text,,,"Sí, la detección asintomática ha sido demostrada en investigaciones del MIT y otros grupos. Es especialmente importante para personas en sus 20 y 30 años que tienen más probabilidades de ser asintomáticas.",
faq.questionsSection.questionsByTopic.Acerca de la IA.3.question,,,¿La aplicación utilizará inteligencia artificial desarrollada por terceros o creada solo para este propósito?,
faq.questionsSection.questionsByTopic.Acerca de la IA.3.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Acerca de la IA.3.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Acerca de la IA.3.answer.0.content.0.text,,,"Virufy cuenta con su propio equipo de investigación en IA con tecnología patentada. Estamos abiertos a la colaboración, el desarrollo conjunto y la integración de algoritmos de IA de otros grupos de investigación.",
faq.questionsSection.questionsByTopic.Finanzas.0.question,,,¿Necesito hacer alguna contribución financiera para donar mi tos?,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.0.text,,,"Virufy actualmente solo está recolectando toses de ciertos países, los cuales se pueden encontrar en nuestra app: ",
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.1.type,,,link,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.1.text,,,https://virufy.org/study,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.1.href,,,https://virufy.org/study,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.2.type,,,text,
faq.questionsSection.questionsByTopic.Finanzas.0.answer.0.content.2.text,,,.,
faq.questionsSection.questionsByTopic.Finanzas.1.question,,,¿Cuántos donantes han tenido en total?,
faq.questionsSection.questionsByTopic.Finanzas.1.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Finanzas.1.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Finanzas.1.answer.0.content.0.text,,,"Tenemos más de 5,000 grabaciones de tos de más de 10 países, principalmente en Sudamérica y el sur de Asia. Algunas de estas son clínicas y otras han sido aportadas directamente por individuos a través de nuestra app.",
faq.questionsSection.questionsByTopic.Finanzas.2.question,,,¿Cuáles son los gastos operativos de la organización?,
faq.questionsSection.questionsByTopic.Finanzas.2.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Finanzas.2.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Finanzas.2.answer.0.content.0.text,,,Actualmente funcionamos completamente con voluntarios. Nuestras principales necesidades presupuestarias son para marketing y estudios clínicos para la recopilación de datos de tos. También necesitaríamos fondos para computación una vez que escalemos a una gran base de usuarios.,
faq.questionsSection.questionsByTopic.Finanzas.3.question,,,"¿El equipo recibe financiamiento? Si es así, ¿de dónde y cuánto? ¿En qué se utiliza?",
faq.questionsSection.questionsByTopic.Finanzas.3.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Finanzas.3.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Finanzas.3.answer.0.content.0.text,,,Nos asociamos con varias universidades para solicitar subvenciones de I+D aprovechando nuestro estatus 501(c)(3).,
faq.questionsSection.questionsByTopic.Privacidad.0.question,,,¿Cómo almacenará Virufy mis datos de forma segura?,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.0.type,,,text,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.0.text,,,"Usamos Amazon Web Services (AWS) para la recopilación de datos de estudios de investigación. AWS almacena los datos en una aplicación segura con acceso y controles restringidos. Tus datos se almacenarán en AWS hasta que los descarguemos. Los almacenaremos en una base de datos con acceso restringido. Si deseas más información sobre cómo AWS almacena tus datos, por favor visita sus respectivas políticas de privacidad en ",
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.1.type,,,link,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.1.text,,,https://aws.amazon.com/en/privacy,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.1.href,,,https://aws.amazon.com/en/privacy,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.2.type,,,text,
faq.questionsSection.questionsByTopic.Privacidad.0.answer.0.content.2.text,,,". Si deseas saber más, consulta la política de privacidad de Virufy.",
faq.questionsSection.questionsByTopic.Privacidad.1.question,,,¿Está mi privacidad en riesgo cuando dono mi tos a Virufy?,
faq.questionsSection.questionsByTopic.Privacidad.1.answer.0.type,,,paragraph,
faq.questionsSection.questionsByTopic.Privacidad.1.answer.0.content.0.type,,,text,
